Outremont,102088
Papineau,110750
Pierrefonds--Dollard,108587
Pontiac,115531
Portneuf--Jacques-Cartier,115313
Québec,97143
Repentigny,116066
Richmond--Arthabaska,107242
Rivière-des-Mille-Îles,102346
Rivière-du-Nord,112156
Rosemont--La Petite-Patrie,110677
Marc-Aurèle-Fortin,101750
Saint-Hyacinthe--Bagot,102693
Saint-Jean,111190
Saint-Laurent,98828
Saint-Léonard--Saint-Michel,113212
Saint-Maurice--Champlain,110264
Salaberry--Suroît,112826
Shefford,111139
Sherbrooke,111176
Vaudreuil--Soulanges,119227
Terrebonne,111575
Trois-Rivières,110515
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,114659
Vimy,111867
Ajax,119677
Algoma--Manitoulin--Kapuskasing,79483
Aurora--Oak Ridges--Richmond Hill,115227
Barrie--Innisfil,109286
Barrie--Springwater--Oro-Medonte,100788
Baie de Quinte,109735
Beaches--East York,109468
Brampton-Centre,102270
Brampton-Est,122000
Brampton-Nord,118180
Brampton-Sud,121188
Brampton-Ouest,130000
Brantford--Brant,130296
Bruce--Grey--Owen Sound,107679
Burlington,123180
Cambridge,115463
Chatham-Kent--Leamington,109619
Davenport,108473
Don Valley-Est,94579
Don Valley-Nord,110076
Don Valley-Ouest,102508
Dufferin--Caledon,128237
Durham,130872
Eglinton--Lawrence,114395
Elgin--Middlesex--London,115052
Essex,125442
Etobicoke-Centre,118022
Etobicoke--Lakeshore,129081
Etobicoke-Nord,118040
Flamborough--Glanbrook,111065
Glengarry--Prescott--Russell,109975
Guelph,131794
Haldimand--Norfolk,109652
Haliburton--Kawartha Lakes--Brock,113956
Hamilton-Centre,100103
Hamilton-Est--Stoney Creek,107848
Hamilton Mountain,104877
Hamilton-Ouest--Ancaster--Dundas,113024
Hastings--Lennox and Addington,94333
Huron--Bruce,106570
Kanata--Carleton,110960
Kenora,62556
King--Vaughan,131995
Kingston et les Îles,117543
Kitchener-Centre,105258
Kitchener--Conestoga,100709
Kitchener-Sud--Hespeler,105309
Lambton--Kent--Middlesex,105331
Lanark--Frontenac--Kingston,101630
Leeds-Grenville-Thousand Islands et Rideau Lakes,100546
London--Fanshawe,119467
London-Centre-Nord,125362
London-Ouest,126110
Markham--Stouffville,126064
Markham--Thornhill,99078
Markham--Unionville,123318
Milton,114093
Mississauga-Centre,124849
Mississauga-Est--Cooksville,120205
Mississauga--Erin Mills,122560
Mississauga--Lakeshore,117444
Mississauga--Malton,118240
Mississauga--Streetsville,118301
Nepean,119110
Newmarket--Aurora,117418
Niagara-Centre,109067
Niagara Falls,136292
Niagara-Ouest,90838
Nickel Belt,93772
Nipissing--Timiskaming,88813
Northumberland--Peterborough-Sud,112412
Oakville,120923
Oakville-Nord--Burlington,129078
Oshawa,126764
Ottawa-Centre,118038
Orléans,128281
Ottawa-Sud,121058
Ottawa--Vanier,111508
Ottawa-Ouest--Nepean,111837
Oxford,113790
Parkdale--High Park,108805
Parry Sound--Muskoka,94398
Perth--Wellington,107908
Peterborough--Kawartha,118176
Pickering--Uxbridge,112947
Renfrew--Nipissing--Pembroke,103495
Richmond Hill,110177
Carleton,102918
St. Catharines,111691
Toronto--St. Paul's,107900
Sarnia--Lambton,105337
Sault Ste. Marie,80371
Scarborough--Agincourt,105542
Scarborough-Centre,112603
Scarborough--Guildwood,102386
Scarborough-Nord,98800
Scarborough--Rouge Park,102275
Scarborough-Sud-Ouest,110278
Simcoe--Grey,129944
Simcoe-Nord,111332
Spadina--Fort York,115506
Stormont--Dundas--South Glengarry,103320
Sudbury,91532
Thornhill,112719
Thunder Bay--Rainy River,82805
Thunder Bay--Supérieur-Nord,82651
Timmins--Baie James,83257
Toronto-Centre,103805
Toronto--Danforth,106875
University--Rosedale,104311
Vaughan--Woodbridge,105228
Waterloo,110134
Wellington--Halton Hills,120981
Whitby,128377
Willowdale,118801
Windsor--Tecumseh,117429
Windsor-Ouest,122988
York-Centre,104319
York--Simcoe,104010
York-Sud--Weston,116686
Humber River--Black Creek,108037
Brandon--Souris,88170
Charleswood--St. James--Assiniboia--Headingley,82574
Churchill--Keewatinook Aski,87027
Dauphin--Swan River--Neepawa,87527
Elmwood--Transcona,92738
Kildonan--St. Paul,84077
Portage--Lisgar,97354
Provencher,99946
Saint-Boniface--Saint-Vital,89818
Selkirk--Interlake--Eastman,94778
Winnipeg-Centre,85949
Winnipeg-Nord,95676
Winnipeg-Sud,99678
Winnipeg-Centre-Sud,93053
Battlefords--Lloydminster,73506
Cypress Hills--Grasslands,68353
Desnethé--Missinippi--Rivière Churchill,70891
Sentier Carlton--Eagle Creek,80662
Moose Jaw--Lake Centre--Lanigan,79733
Prince Albert,79625
Regina--Lewvan,92426
Regina--Qu'Appelle,76017
Regina--Wascana,84153
Saskatoon--Grasswood,82946
Saskatoon--University,82663
Saskatoon-Ouest,83711
Souris--Moose Mountain,72635
Yorkton--Melville,71031
Banff--Airdrie,135762
Battle River--Crowfoot,110223
Bow River,115022
Calgary-Centre,119176
Calgary Confederation,122023
Calgary Forest Lawn,111830
Calgary Heritage,112087
Calgary Midnapore,121844
Calgary Nose Hill,115795
Calgary Rocky Ridge,131823
Calgary Shepard,147520
Calgary Signal Hill,121392
Calgary Skyview,135730
Edmonton-Centre,109941
Edmonton Griesbach,112287
Edmonton Manning,121048
Edmonton Mill Woods,118561
Edmonton Riverbend,120863
Edmonton Strathcona,106066
Edmonton-Ouest,121869
Edmonton--Wetaskiwin,158749
Foothills,113227
Fort McMurray--Cold Lake,110230
Grande Prairie--Mackenzie,117327
Lakeland,108451
Lethbridge,117394
Medicine Hat--Cardston--Warner,106896
Peace River--Westlock,109965
Red Deer--Mountain View,119019
Red Deer--Lacombe,128786
St. Albert--Edmonton,121313
Sherwood Park--Fort Saskatchewan,122193
Sturgeon River--Parkland,120784
Yellowhead,101979
Abbotsford,101814
Burnaby-Nord--Seymour,102486
Burnaby-Sud,111973
Cariboo--Prince George,108907
Central Okanagan--Similkameen--Nicola,110293
Chilliwack--Hope,100126
Cloverdale--Langley City,117640
Coquitlam--Port Coquitlam,123576
Courtenay--Alberni,114647
Cowichan--Malahat--Langford,108052
Delta,103064
Fleetwood--Port Kells,116958
Kamloops--Thompson--Cariboo,124358
Kelowna--Lake Country,119388
Kootenay--Columbia,112354
Langley--Aldergrove,117017
Mission--Matsqui--Fraser Canyon,94825
Nanaimo--Ladysmith,122710
New Westminster--Burnaby,115340
North Okanagan--Shuswap,124605
North Vancouver,115344
Pitt Meadows--Maple Ridge,101101
Port Moody--Coquitlam,110817
Prince George--Peace River--Northern Rockies,110995
Richmond-Centre,98396
Esquimalt--Saanich--Sooke,120834
Saanich--Gulf Islands,107339
Skeena--Bulkley Valley,88920
Okanagan-Sud--Kootenay-Ouest,114695
Surrey-Sud--White Rock,104051
Steveston--Richmond-Est,99913
Surrey-Centre,120172
Surrey--Newton,114605
Vancouver-Centre,116443
Vancouver-Est,115724
Vancouver Granville,103456
North Island--Powell River,105466
Vancouver Kingsway,104870
Vancouver Quadra,105608
Vancouver-Sud,102927
Victoria,117133
West Vancouver--Sunshine Coast--Sea to Sky Country,119113
Yukon,35874
Territoires du Nord-Ouest,41786
Nunavut,35944
